"feature","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"1810030O07Rik",1874.70138529412,0.13023610785002,0.0476358969827535,0.00245683288526051,0.0311023638155674,FALSE,"ns"
"1810032O08Rik",313.694620900415,0.0109818833820535,0.087421357588817,0.822776191779928,0.907387776278239,FALSE,"ns"
"1810034E14Rik",90.5639505941122,0.173813120756312,0.273367489355975,0.0233275768111502,0.106538205206479,FALSE,"ns"
"1810037I17Rik",1432.62831098606,-0.009931311005508,0.055652624326414,0.831913175134293,0.912091315332879,FALSE,"ns"
"1810041L15Rik",103.82092023761,-0.0693126375485599,0.136417645205933,0.0226391132434986,0.104155808017107,FALSE,"ns"
"1810043G02Rik",644.700779096313,0.0262314315799197,0.0602149136337413,0.592064475951176,0.755684747266798,FALSE,"ns"
"1810043H04Rik",245.84596920541,0.0124878704519488,0.0767156087755411,0.821521903261278,0.906564147076408,FALSE,"ns"
"1810044D09Rik",15.6868327291689,-0.0297775923694524,0.10591502702764,0.332463909822545,0.538380484820701,FALSE,"ns"
"1810055G02Rik",2010.03616268405,-0.129464070283073,0.0681460532978115,0.0198981844851648,0.0968634792478937,FALSE,"ns"
"1810058I24Rik",2106.91847197668,0.142974801702424,0.127700024119034,0.047369538981319,0.161536903803135,FALSE,"ns"
"1810062G17Rik",18.7289985518993,-0.0386267384193516,0.106862357214153,0.302558332552025,0.50926121391812,FALSE,"ns"
"2010001A14Rik",90.9625875343664,0.0657267923775371,0.119974517467941,0.146925911849737,0.325194856995337,FALSE,"ns"
"2010012O05Rik",546.221404033793,0.0752605946499278,0.0646772498212754,0.150170511041173,0.32982173212259,FALSE,"ns"
"2010107E04Rik",1943.35113801243,-0.176352822389482,0.0627633398383403,0.00107966287625936,0.0203691217748384,FALSE,"ns"
"2010107G23Rik",132.803016476472,0.234700196807174,0.184548453982065,0.014593536596108,0.0811538867137311,FALSE,"ns"
"2010111I01Rik",3908.93412225089,0.0175867108016155,0.0766560208334377,0.740211305021323,0.856330565681982,FALSE,"ns"
"2010204K13Rik",55.2523560545203,-0.062161340589363,0.107888886132816,0.229207531422327,0.428595482233946,FALSE,"ns"
"2010315B03Rik",176.194347617593,0.0876756594336425,0.129225542270687,0.111695258022827,0.274955909007491,FALSE,"ns"
"2010320M18Rik",97.5989167114915,0.12622180223238,0.148735231659044,0.0625898956640081,0.191543142097366,FALSE,"ns"
"2200002D01Rik",284.259173868563,-0.130571545206195,0.11464554413614,0.0586831187381905,0.183586958818833,FALSE,"ns"
"2210010C04Rik",16.0938752668919,0.0832491179490824,0.148607784810944,0.0331984167404651,0.131053503480242,FALSE,"ns"
"2210011C24Rik",69.8619394955236,-0.0141913427824915,0.0996943956336107,0.675116625007588,0.813091686148572,FALSE,"ns"
"2210013O21Rik",1058.01769326005,-0.188418550203916,0.0877917504403294,0.00539442439701108,0.0458052941483778,FALSE,"ns"
"2210015D19Rik",347.194741662729,-0.047267262732945,0.0807741912026098,0.387123195858673,0.588995050371191,FALSE,"ns"
