"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR005","DHMR006","DHMR007","DHMR008"
"Utrn",11.1208858427878,12.7404132320333,11.8784341495593,12.3258675805754,12.1430642806314,11.5612879451648,12.8659265450219,12.2381061374321
"Uts2r",4.75488750216347,4.85798099512757,4.75488750216347,5.16992500144231,4.75488750216347,3.90689059560852,4.8073549220576,5.35755200461808
"Uvrag",9.79928162152192,10.6812384117778,10.8540891798706,10.7202442582876,10.9359016822676,9.72962074355304,10.6706562491184,10.7380922596205
"Uvssa",6.91886323727459,8.52356195605701,8.2045711442492,8.16490692667569,8.14974711950468,6.98868468677217,8.62935662007961,8.27612440527424
"Uxs1",10.6510516911789,11.3810021095509,11.7120970510875,11.6768386064742,11.5381889320524,10.6952282914958,11.5512276035983,11.7439928610602
"Uxt",7.54689445988764,7.88874324889826,8.13442632022093,8.00562454919388,8.02236781302845,7.43462822763672,7.62935662007961,8.04984854945056
"Vac14",9.23122118071119,10.286557761608,10.4189067312579,10.1254134704833,10.4868350215631,9.08214904135387,10.0914353863236,10.2656150464845
"Vamp1",4.85798099512757,6.33985000288462,7.03342300153745,6.24792751344359,6.65821148275179,5.83289001416474,6.93073733756289,6.94251450533924
"Vamp2",10.243173983473,11.1655351413779,11.2045711442492,11.2443638351205,11.2620948453702,10.1098306542788,11.0894504811159,11.2520740427962
"Vamp3",11.5191447879974,12.337343147274,12.382083590142,12.400612641082,12.4220647661728,11.4660764613963,12.344850683943,12.3901689562002
"Vamp4",9.27844945822048,10.0416591516372,10.0980320829605,10.2796105810525,10.2620948453702,9.31741261376487,10.2957689344205,10.2772874001304
"Vamp5",10.6759570329417,11.298062567719,11.8501868376458,11.5608104687279,11.1376315982354,10.8818787076004,11.6724253419715,11.8376279331714
"Vamp8",10.4335854411505,11.3370643386847,11.2638560195961,11.2360141919001,11.4823037823232,10.3782948559119,11.0808175276083,11.1286388128526
"Vangl1",9.5077946401987,10.4584066132365,10.3309168781146,10.4978518369511,10.4072677642447,9.35535109642481,10.4146852358072,10.4220647661728
"Vangl2",6.82017896241519,7.94836723158468,7.97154355395077,7.83920378809694,8.10328780841202,6.91886323727459,7.93663793900257,7.96000193206808
"Vapa",12.3097605447296,13.1878159871466,13.2591547688668,13.2771420770337,13.3114645154484,12.3258675805754,13.2676645375011,13.2920339854995
"Vapb",11.5745935273376,12.4640351521899,12.579787329527,12.5242968376626,12.5252760978671,11.5473765634981,12.4406096667484,12.5132341138061
"Vars",11.8201789624152,12.6064052126978,12.7002229507993,12.6919615642168,12.7163907894977,11.624338545313,12.5629578693341,12.6530689765799
"Vars2",8.74483383749955,9.74146698640115,9.75655632252409,9.70390357344466,9.65105169117893,8.56605403817109,9.70217268536555,9.67948009950545
"Vash1",8.12412131182919,9.19229281447077,8.90989308377004,8.79766152585376,8.90989308377004,8.37937836707126,8.84549005094438,8.61470984411521
"Vash2",10.3966047811819,11.3476213685681,11.6595499968799,11.5274770060604,11.4194335507054,10.2057932493972,11.3896313392605,11.6225094546833
"Vasn",11.1830150008828,12.1873520732005,12.1088511170402,12.1189410727235,12.3289553617813,10.8933015308606,11.8293263358417,12.0038692319791
"Vasp",11.845097960973,12.5719895976046,12.9078295445781,12.7600961692441,12.4043432915858,11.742309436084,12.6657800283295,12.786065381164
"Vat1",12.7976615258538,14.1983683003134,13.9749522735341,13.7466192864003,14.4491486453754,12.6160893135821,13.5640303722017,13.8093662078161
"Vav2",8.81378119121704,9.93516504960369,9.84077792359505,9.81378119121704,9.84549005094438,8.76487159073609,9.78463484555752,9.6724253419715
"Vav3",7.86418614465428,9.29001884693262,8.94836723158468,8.9915218460757,9.49785183695112,8.43462822763673,9.44086916761087,9.04165915163721
"Vax2",4.52356195605701,4.70043971814109,5.6724253419715,5.28540221886225,5.16992500144231,4.39231742277876,5.08746284125034,5.58496250072116
"Vbp1",10.2131042196419,11.3043513216632,11.1642784383012,11.3788367132106,11.192909219112,10.4314976042581,11.6068678373742,11.44759985828
"Vcam1",11.9046346216682,12.680799034573,12.5526690975143,12.7891260464252,12.3465137331656,11.7895336449704,12.5703301010308,12.5978197886455
"Vcan",11.8257538328831,13.0728025345442,12.5631962722167,12.9509203520301,12.8948177633079,12.3089078040639,13.603973996309,12.9298131846641
"Vcl",13.9776376904059,14.7598881832218,15.0107903266695,15.0040009548772,14.6202771105455,13.9355334129507,15.0110961906909,14.9974000326695
"Vcp",14.1359497152427,15.0060630450001,15.2407540719948,15.0657947671893,14.9843294447619,14.0098286173681,15.0021557389695,15.176835427272
"Vcpip1",9.35535109642481,11.004922678569,10.2348174311173,10.604553229079,10.5915223465707,9.79603960882977,11.192909219112,10.6786001390995
"Vcpkmt",8.25738784269265,8.96578428466209,9.20945336562895,9.2240016741981,9.35314682549808,8.24317398347295,9,9.25738784269265
"Vdac1",13.1636496760158,14.0389189892923,14.118535582111,14.0604426273166,14.1062357616157,13.1008265708957,13.8825475287844,14.0461008450288
"Vdac2",12.5296745617646,13.3652288492515,13.6531809653276,13.4909761922705,13.4523699548031,12.4785168476765,13.3755825124905,13.5565060546719
"Vdac3",12.2261110981324,12.9699260819199,13.1764848472919,13.0045716151677,13.0549434165733,12.1237980912519,12.9318455401837,13.0461008450288
"Vdr",11.1241213118292,11.65999589243,11.5216004397237,11.9068905956085,11.5816713585781,10.9693865213423,11.7215264640075,11.5943246039248
"Vegfa",11.8572034715082,12.9888621727834,12.1623913287569,12.6744129818371,13.3325960577892,12.1605017475557,12.8476446430833,12.32108251801
"Vegfb",9.01680828768655,10.4178525148859,9.9469062744564,9.85642552862553,10.4146852358072,9.04712391211403,9.69696752623429,9.86573327085176
"Vegfc",9.12670447284319,9.63662462054365,9.876516946565,9.90689059560852,9.64745842645492,9.16741814583174,9.86263735755879,9.84077792359505
"Vezf1",10.9329528921947,12.1163439612375,11.6631133084558,12.0640690803855,11.9004894848346,11.3100446796475,12.3517674439599,11.9975323475264
"Vezt",9.31061278165953,10.4542992936199,10.5087851620645,10.468624042918,10.3037807481771,9.45327063401062,10.6174674652942,10.5497846679479
"Vgll2",7.53915881110803,8.52356195605701,8.18487534290828,8.1548181090521,8.07681559705083,7.23840473932508,8.08214904135387,7.91886323727459
"Vgll3",10.8257538328831,11.7801296196253,11.6352646565395,11.7731392067197,11.6366246205436,11.0354864512922,11.9340593949008,11.7784878612224
"Vgll4",9.56224242422107,10.427312844135,10.5622424242211,10.5555477716471,10.1357092861044,9.08746284125034,10.3987436919382,10.4655664048094
"Vhl",9.72451385311995,10.7108064336994,10.7607199474656,10.6865005271832,10.7714894695006,9.71252700043982,10.604553229079,10.7047682393626
"Vill",5.61470984411521,6.10852445677817,5.93073733756289,6.4594316186373,6.2667865406949,5.24792751344359,6.06608919045777,6.18982455888002
"Vim",16.0118605671638,16.8247723273554,16.6719141864353,16.8436757408804,16.7007918956214,15.8335819305417,16.5943100229262,16.6898205710273
"Vimp",10.5117526537674,11.7270695580237,11.5891829670394,11.4088604360248,11.8610869059954,10.6073303137496,11.3224915375975,11.4283601727043
"Vipas39",9.84862294042934,10.7623820387104,10.9801395776392,10.7952279660287,10.8895039634115,9.72109918870719,10.631177055704,10.7960396088298
"Vipr1",4.4594316186373,5.88264304936184,5.20945336562895,5.39231742277876,5.28540221886225,4.4594316186373,5.58496250072116,5.16992500144231
"Vipr2",6.20945336562895,7.09803208296053,7.43462822763672,7.4178525148859,7.4594316186373,6.2667865406949,7.27612440527424,7.31288295528436
"Vkorc1",9.81378119121704,10.8025163651212,10.9016211583461,10.8431359111114,10.8313072438021,9.68474862042163,10.5651020783603,10.8649599151426
"Vkorc1l1",10.3772105303886,11.2556187498396,11.1503819688178,11.3359485652023,11.2755425560867,10.4093909361377,11.4136279290242,11.2778685461768
"Vldlr",9.09539702279256,10.951284714967,10.4051414631363,10.3151495622563,11.6648916692861,9.57553924683453,10.6882503091332,10.4210128557792
"Vma21",10.4757334309664,11.6156296369681,11.3685064615077,11.585432051593,11.3168471836025,10.8641861446543,12.0052736565639,11.6541884730595
"Vmac",8.17990909001493,9.31061278165953,9.403012023575,9.28771237954945,9.34872815423108,8.19475685442225,9.01402047031493,9.31061278165953
"Vmn2r13",2.8073549220576,1.58496250072116,3.32192809488736,2.32192809488736,2.58496250072116,1.58496250072116,1,2.8073549220576
"Vmn2r29",4.70043971814109,5.6724253419715,5.70043971814109,5.61470984411521,5.49185309632967,5,5.64385618977472,5.55458885167764
"Vmn2r78",2.8073549220576,3,3.16992500144231,2.8073549220576,2,2,3.8073549220576,3.4594316186373
"Vmp1",11.9076418036655,13.0260046429789,13.3801904667498,13.1487943214243,13.4465664090661,12.0389189892923,13.1258977317603,13.3958018713897
"Vnn1",2.32192809488736,3.4594316186373,2.8073549220576,3.16992500144231,4.39231742277876,1.58496250072116,3,2.58496250072116
"Vnn3",0,3.32192809488736,1.58496250072116,0,5.24792751344359,0,0,2
"Vopp1",10.5459297690855,11.4594316186373,11.5844927969759,11.518161355757,11.6402449362223,10.4491486453754,11.3663222142458,11.4711671337244
"Vprbp",10.1318569606088,10.9173720794768,10.9957671508778,11.01471792986,10.9621730311097,10.0887882387169,11.1045987535644,10.9736973663054
"Vps11",10.2057932493972,11.2767060198924,11.3619437737352,11.2209828510818,11.3575520046181,10.0498485494506,11.036860446673,11.2894425756883
"Vps13a",7.34872815423108,9.38801728534514,8.21431912080077,8.33091687811462,8.39231742277876,7.82017896241519,9.39660478118186,8.52356195605701
"Vps13b",9.21431912080077,10.8025163651212,9.81057163474115,10.3454052467178,10.2679570844028,9.54109661534952,10.8241632097442,10.1972166931101
"Vps13c",9.73809225962049,11.5013396180614,10.5381889320524,10.90989308377,10.9218409370745,9.94836723158468,11.4807902010958,10.7927902943011
"Vps13d",10.733015321686,11.8141818841903,11.7507069862249,11.7444134105577,11.7627972624982,10.6193029554157,11.8105716347411,11.6577650352654
"Vps16",9.94104760634058,10.894059846274,10.894059846274,10.8978454560055,10.9425145053392,9.86727873970966,10.7772553151919,10.8033239190415
"Vps18",9.79766152585376,10.9322147519684,10.9307373375629,10.7414669864011,10.9233274854192,9.64024493622235,10.6688849842662,10.8344710499842
"Vps25",10.3564519702218,11.3020676725265,11.5112584955023,11.3923174227788,11.3712321283696,10.3586512008929,11.2276159434142,11.477252323938
"Vps26a",11.0552824355012,12.3362275894834,12.1592406504117,12.1879705919842,12.3188252203997,11.3303567169579,12.4312364120711,12.3097605447296
"Vps26b",10.7673568541257,11.654636028528,11.7723145739217,11.7473538294781,11.7723145739217,10.5971214287896,11.6036263449862,11.7960396088298
"Vps28",10.496853777388,11.4072677642447,11.6302671250268,11.4721831161895,11.5377037479076,10.4387918525783,11.2573878426927,11.5386739530827
"Vps29",10.632995197143,11.6904345563951,11.8317030992143,11.6370776571437,11.859146495426,10.769011321097,11.567480801143,11.8004955004668
"Vps33a",10.4387918525783,11.4527560290325,11.5357613779867,11.3679607096416,11.4220647661728,10.2312211807112,11.3281138948337,11.399277924509
"Vps33b",8.51175265376738,9.44708322620965,9.63117705570398,9.41151098801207,9.59058704991503,8.47167521439204,9.43879185257826,9.4655664048094
"Vps35",12.9158793788358,13.9541963103869,13.7455692899632,13.9836171346612,13.9162526988122,12.9290734358768,14.1083610989066,13.9805858870134
"Vps36",9.37286506011259,10.1972166931101,10.2526654324502,10.3140167039014,10.3253054550897,9.43462822763673,10.3162815317462,10.2526654324502
"Vps37a",9.61286849729104,10.6873756834375,10.4241662888181,10.5727002264873,10.5166849493096,9.90388184573618,11.0953970227926,10.6247954558602
"Vps37b",9.15734693536284,10.0195907283579,10.1674181458317,10.0834793273318,10.2877123795494,9.07146236255662,9.88722061546838,10.0901124196643
"Vps37c",9.89784545600551,10.9534689622288,10.8564255286255,10.8105716347411,10.8772841335232,9.89784545600551,10.7039035734447,10.8384160757973
"Vps37d",6.6724253419715,7.43462822763672,7.74146698640115,7.56985560833095,7.39231742277876,6,7.25738784269265,7.4594316186373
