"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Cstf2t","Group_safe",0.906913863521385,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.995097614981632,-0.00709003984179363
"Cstf3","Group_safe",0.362544515859716,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.931792342626926,-0.101919620310871
"Cstl1","Group_safe",0.269042721216931,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.48114496986212,-1.05545644873038
"Ctage5","Group_safe",0.0349126797482235,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.81377748735388,-0.297293725181274
"Ctbp1","Group_safe",0.197473415852743,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0683682295749,0.0954089798162557
"Ctbp2","Group_safe",0.193298496597159,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.934172201253751,-0.0982395802888274
"Ctbs","Group_safe",0.187069514399487,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.907268237049237,-0.14039894319812
"Ctc1","Group_safe",0.0279785709047835,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09295089874401,0.128228588814295
"Ctcf","Group_safe",0.295110033741207,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.942820405417779,-0.0849451117803342
"Ctdnep1","Group_safe",0.514470897550997,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04011941239246,0.0567491685364354
"Ctdp1","Group_safe",0.88922425941885,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.992459980851407,-0.0109191655196644
"Ctdsp1","Group_safe",0.478565888375336,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03828678874704,0.0542049904745968
"Ctdsp2","Group_safe",0.169497064218836,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09597931735428,0.132220572904319
"Ctdspl","Group_safe",0.949185924243893,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00460773237473,0.00663228445817764
"Ctdspl2","Group_safe",0.23405934084311,0.999975312633209,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.849612952294725,-0.235122334784689
"Ctf1","Group_safe",0.759709406804504,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02712997494074,0.038618754526355
"Ctf2","Group_safe",0.806329481405177,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.15320362632809,0.205647278606336
"Ctgf","Group_safe",0.676016598494979,0.999975312633209,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.14167029308105,0.191146069952066
